test_size,,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7
name,,KNN-1,KNN-3,SVM-poly3,SVM-rbf,KNN-1,KNN-3,SVM-poly3,SVM-rbf,KNN-1,KNN-3,SVM-poly3,SVM-rbf
BA,mean,0.4969765184293708,0.5080423519008348,0.505235709847058,0.5,0.4966508636904384,0.5009144978452611,0.506474458473011,0.5,0.5027936893256482,0.5005742388985455,0.5027364591170133,0.5
BA,std,0.013740694401609348,0.013205040639378558,0.008125940428493381,0.0,0.00750563400074217,0.004421210290178148,0.007650061456476493,0.0,0.015563168750115925,0.003297814348916497,0.004443767880955785,0.0
TN,mean,1444.0,1467.2,1467.6,1468.8,2405.2,2444.6,2444.8,2449.2,3364.4,3424.8,3421.6,3430.4
TN,std,3.7416573867739547,5.9749476985158445,7.368853370776237,7.3959448348402415,9.57601169589925,3.7815340802378388,9.731392500562258,6.685805860178764,21.778429695457877,3.1144823004794855,15.946786510140544,7.668115805072293
FP,mean,24.8,1.6,1.2,0.0,44.0,4.6,4.4,0.0,66.0,5.6,8.8,0.0
FP,std,10.2810505299799,1.51657508881031,1.7888543819998317,0.0,15.732132722552274,4.669047011971501,4.39317652729776,0.0,28.398943642325854,6.6558245169174945,10.756393447619885,0.0
FN,mean,30.8,30.6,30.8,31.2,50.2,50.6,50.0,50.8,67.8,69.4,69.0,69.6
FN,std,7.049822692805827,7.05691150575094,7.12039324756716,7.395944834840239,6.418722614352486,6.580273550544841,6.2048368229954285,6.685805860178711,6.97853852894716,7.602631123499286,7.211102550927979,7.668115805072325
TP,mean,0.4,0.6,0.4,0.0,0.6,0.2,0.8,0.0,1.8,0.2,0.6,0.0
TP,std,0.8944271909999159,0.8944271909999159,0.5477225575051661,0.0,0.5477225575051662,0.447213595499958,0.8366600265340756,0.0,1.9235384061671346,0.447213595499958,0.8944271909999159,0.0
